,Protein,Polypeptide,Amino acid,Heteroploycondensate(HPC),Polysaccharides,Oligosaccharides,Humic acid,Monosaccharides,Inorganic carbon,Lipids,Pigments,Porphyrin,V-Phenol,S-Phenol,C-Phenol
0,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
1,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
2,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
3,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
4,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
5,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
6,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
7,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
8,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
9,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
10,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
11,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
12,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
13,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
14,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
15,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
16,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
17,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
18,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
19,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
20,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
21,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
22,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
23,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
24,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
25,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
26,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
27,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
28,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
29,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
